Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
02_OL,C_R,E26_../audio/C/Tar_PR.wav,795.73,810.6,14.87,Correct,3
02_OL,C_R,E27_../audio/C/Cone_A.wav,857.69,860.45,2.76,Correct,5
02_OL,C_L,E1_../audio/C/Duck_C.wav,16.35,23.24,6.89,Incorrect,1
02_OL,C_L,E2_../audio/C/Flood_PR.wav,57.27,61.87,4.60,Correct,7
02_OL,C_L,E3_../audio/C/Cone_E.wav,82.54,86.14,3.60,Incorrect,5
02_OL,C_L,E4_../audio/C/School_C.wav,111.46,122.70,11.24,Correct,3
02_OL,C_L,E5_../audio/C/Deer_PR.wav,149.56,158.76,9.20,Incorrect,3
02_OL,C_L,E6_../audio/C/Cone_F.wav,176.40,182.29,5.89,Correct,2
02_OL,C_L,E7_../audio/C/Blind_P.wav,204.27,211.93,7.66,Incorrect,5
02_OL,C_L,E8_../audio/C/Frost_C.wav,249.56,254.97,5.41,Correct,3
02_OL,C_L,E9_../audio/C/Cone_D.wav,279.41,281.50,2.09,Incorrect,3
02_OL,C_L,E10_../audio/C/Flood_P.wav,300.67,304.53,3.86,Correct,5
02_OL,C_L,E11_../audio/C/Duck_P.wav,327.09,328.70,1.61,Correct,7
02_OL,C_L,E12_../audio/C/Cone_E.wav,347.39,353.54,6.15,Incorrect,2
02_OL,C_L,E13_../audio/C/Deer_C.wav,375.81,381.81,6.00,Correct,6
02_OL,C_L,E14_../audio/C/School_PR.wav,413.29,417.29,4.00,Correct,5
02_OL,C_L,E15_../audio/C/Cone_F.wav,440.61,445.96,5.35,Incorrect,5
02_OL,C_L,E16_../audio/C/Frost_PR.wav,462.26,468.68,6.42,Correct,4
02_OL,C_L,E17_../audio/C/Blind_PR.wav,495.90,505.57,9.67,Correct,4
02_OL,C_L,E18_../audio/C/Cone_D.wav,524.93,528.83,3.90,Correct,6
02_OL,C_L,E19_../audio/C/Duck_PR.wav,545.65,546.83,1.18,Correct,7
02_OL,C_L,E20_../audio/C/Flood_C.wav,572.02,579.68,7.66,Incorrect,1
02_OL,C_L,E21_../audio/C/Cone_E.wav,600.16,605.16,5.00,Incorrect,4
02_OL,C_L,E22_../audio/C/School_P.wav,624.05,629.27,5.22,Incorrect,2
02_OL,C_L,E23_../audio/C/Deer_P.wav,648.56,649.64,1.08,Correct,7
02_OL,C_L,E24_../audio/C/Cone_D.wav,665.67,669.17,3.50,Correct,2
02_OL,C_L,E25_../audio/C/Blind_C.wav,689.25,698.47,9.22,Incorrect,1
